street,land_contour,lot_config,neighborhood,condition_1,bldg_type,house_style,overall_qual,roof_style,roof_matl,exterior_1st,mas_vnr_type,mas_vnr_area,exter_qual,foundation,bsmt_qual,total_bsmt_sf,heating,heating_qc,central_air,gr_liv_area,full_bath,kitchen_qual,fireplace_qu,garage_type,garage_finish,sale_type,saleprice,house_age,age_at_remod,total_baths,garage_overall
Pave,Lvl,CulDSac,Sawyer,RRAe,1Fam,2Story,6,Gable,CompShg,HdBoard,BrkFace,289.0,3.0,CBlock,3.0,725.0,GasA,4.0,Y,1479,2,3.0,0.0,Attchd,2.0,WD ,130500,34,5,3.0,6.0
Pave,Lvl,CulDSac,SawyerW,Norm,1Fam,2Story,7,Gable,CompShg,VinylSd,BrkFace,132.0,3.0,PConc,4.0,913.0,GasA,4.0,Y,2122,2,3.0,3.0,Attchd,2.0,WD ,220000,13,12,4.0,6.0
Pave,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,None,0.0,2.0,CBlock,3.0,1057.0,GasA,2.0,Y,1057,1,3.0,0.0,Detchd,1.0,WD ,109000,57,3,2.0,3.0
Pave,Lvl,Inside,Timber,Norm,1Fam,2Story,5,Gable,CompShg,VinylSd,None,0.0,2.0,PConc,4.0,384.0,GasA,3.0,Y,1444,2,2.0,0.0,BuiltIn,3.0,WD ,174000,4,3,3.0,6.0
Pave,Lvl,Inside,SawyerW,Norm,1Fam,1.5Fin,6,Gable,CompShg,Wd Sdng,None,0.0,2.0,PConc,2.0,676.0,GasA,2.0,Y,1445,2,2.0,0.0,Detchd,1.0,WD ,138500,110,17,2.0,6.0
Pave,Lvl,Corner,NAmes,PosA,1Fam,1Story,6,Gable,CompShg,BrkFace,None,0.0,3.0,CBlock,3.0,1517.0,GasA,4.0,Y,1888,2,3.0,4.0,Attchd,3.0,WD ,190000,44,8,3.0,6.0
Pave,Lvl,Inside,Edwards,Norm,TwnhsE,SFoyer,6,Gable,CompShg,VinylSd,BrkFace,82.0,2.0,PConc,4.0,547.0,GasA,3.0,Y,1072,2,2.0,0.0,Basment,3.0,New,140000,1,0,3.0,6.0
Pave,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Hip,CompShg,Plywood,BrkFace,180.0,2.0,CBlock,3.0,1188.0,GasA,1.0,Y,1188,1,2.0,0.0,Attchd,2.0,COD,142000,51,51,2.0,6.0
Pave,Lvl,Inside,OldTown,Artery,1Fam,1Story,5,Gable,CompShg,Wd Sdng,None,0.0,2.0,CBlock,3.0,924.0,GasA,2.0,Y,924,1,2.0,0.0,Detchd,1.0,WD ,112500,55,55,1.0,3.0
Pave,HLS,Inside,NAmes,Norm,1Fam,2Story,5,Gable,CompShg,Plywood,BrkFace,192.0,2.0,PConc,4.0,1040.0,GasA,2.0,Y,2080,1,1.0,3.0,Attchd,1.0,WD ,135000,38,38,4.0,6.0
Pave,Lvl,Inside,BrDale,Norm,Twnhs,2Story,6,Gable,CompShg,HdBoard,BrkFace,232.0,2.0,CBlock,3.0,483.0,GasA,2.0,Y,987,1,2.0,0.0,Detchd,1.0,COD,85400,37,37,2.0,3.0
Pave,Lvl,Inside,CollgCr,Norm,1Fam,1Story,7,Gable,CompShg,VinylSd,None,0.0,3.0,PConc,4.0,1208.0,GasA,4.0,Y,1208,2,3.0,0.0,Attchd,2.0,WD ,183600,1,1,2.0,6.0
Pave,Bnk,FR2,SawyerW,Feedr,1Fam,2Story,5,Gable,CompShg,HdBoard,None,0.0,3.0,PConc,0.0,0.0,GasA,4.0,Y,2016,1,2.0,3.0,Attchd,1.0,WD ,131000,129,2,1.0,6.0
Pave,Lvl,Inside,Somerst,Norm,Twnhs,2Story,8,Gable,CompShg,MetalSd,BrkFace,456.0,3.0,PConc,4.0,960.0,GasA,4.0,Y,1607,2,3.0,0.0,Detchd,1.0,ConLD,200000,9,8,4.0,6.0
Pave,Lvl,Inside,CollgCr,Norm,1Fam,1Story,7,Gable,CompShg,VinylSd,None,0.0,3.0,PConc,4.0,1351.0,GasA,4.0,Y,1361,2,3.0,0.0,Attchd,2.0,WD ,193000,1,1,2.0,6.0
Pave,Lvl,Inside,Mitchel,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,None,0.0,2.0,PConc,5.0,1430.0,GasA,4.0,Y,1430,2,3.0,0.0,Attchd,2.0,WD ,173500,6,5,2.0,6.0
Pave,Lvl,Inside,OldTown,Norm,1Fam,2Story,5,Gable,CompShg,AsbShng,None,0.0,2.0,BrkTil,3.0,624.0,GasA,1.0,N,1344,1,2.0,0.0,Detchd,1.0,COD,98000,92,58,1.0,6.0
Pave,Lvl,Corner,Sawyer,Feedr,1Fam,1Story,5,Gable,CompShg,VinylSd,None,0.0,2.0,PConc,3.0,1121.0,GasA,2.0,Y,1121,1,2.0,0.0,Detchd,1.0,WD ,139000,46,46,2.0,6.0
Pave,Lvl,Inside,Sawyer,Norm,1Fam,1Story,6,Gable,CompShg,Plywood,BrkFace,148.0,2.0,CBlock,3.0,660.0,GasA,4.0,Y,1285,1,2.0,3.0,Attchd,2.0,WD ,143500,30,30,2.0,6.0
Pave,Lvl,Inside,Somerst,Norm,1Fam,2Story,7,Gable,CompShg,VinylSd,None,0.0,2.0,PConc,4.0,756.0,GasA,4.0,Y,1547,2,3.0,0.0,Attchd,1.0,Con,215200,1,1,3.0,6.0
Pave,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,None,0.0,2.0,CBlock,4.0,894.0,GasA,3.0,Y,894,1,2.0,1.0,Attchd,3.0,WD ,129000,39,39,1.0,6.0
Pave,Lvl,Inside,StoneBr,Norm,TwnhsE,1Story,8,Gable,CompShg,CemntBd,None,0.0,3.0,PConc,4.0,1501.0,GasA,4.0,Y,1659,2,4.0,5.0,Attchd,3.0,WD ,278000,9,9,3.0,6.0
Pave,Lvl,Corner,NridgHt,Norm,1Fam,2Story,8,Gable,CompShg,CemntBd,None,0.0,3.0,PConc,5.0,1209.0,GasA,4.0,Y,2253,2,4.0,4.0,Attchd,3.0,New,344133,1,0,3.0,6.0
Pave,Lvl,Inside,Gilbert,Norm,1Fam,1Story,6,Gable,CompShg,HdBoard,None,0.0,2.0,PConc,4.0,1168.0,GasA,4.0,Y,1187,2,2.0,0.0,Attchd,3.0,WD ,185000,18,3,3.0,6.0
Pave,Bnk,Inside,Gilbert,Norm,2fmCon,1Story,5,Hip,CompShg,Wd Sdng,None,0.0,2.0,CBlock,3.0,1056.0,GasA,2.0,N,1056,1,2.0,0.0,Attchd,3.0,WD ,145000,51,51,2.0,6.0
Pave,Lvl,Corner,NAmes,Norm,1Fam,1Story,6,Hip,CompShg,MetalSd,BrkFace,3.0,2.0,CBlock,3.0,1453.0,GasA,4.0,Y,1453,2,2.0,3.0,Attchd,2.0,WD ,187500,48,48,3.0,6.0
Pave,Lvl,Inside,Sawyer,RRAe,1Fam,1Story,5,Gable,CompShg,MetalSd,None,0.0,2.0,CBlock,3.0,894.0,GasA,4.0,Y,894,1,2.0,4.0,Detchd,1.0,WD ,138500,45,1,2.0,3.0
Pave,HLS,Inside,Crawfor,Norm,1Fam,1.5Fin,5,Gable,CompShg,WdShing,None,0.0,2.0,CBlock,3.0,942.0,GasA,4.0,Y,1938,2,3.0,4.0,Detchd,1.0,WD ,198000,71,13,2.0,3.0
Pave,Lvl,Inside,IDOTRR,Feedr,2fmCon,2Story,5,Gable,CompShg,VinylSd,None,0.0,2.0,CBlock,3.0,957.0,GasA,1.0,N,1991,2,2.0,0.0,NoGarage,0.0,WD ,119600,112,1,2.0,0.0
Pave,Lvl,Corner,NAmes,Artery,1Fam,1.5Fin,5,Gable,CompShg,MetalSd,None,0.0,2.0,CBlock,3.0,672.0,GasA,4.0,Y,924,1,2.0,1.0,Detchd,1.0,WD ,122900,58,1,1.0,6.0
Pave,Lvl,Inside,NWAmes,PosN,1Fam,1Story,8,Hip,WdShngl,BrkFace,None,0.0,3.0,PConc,4.0,2524.0,GasA,2.0,Y,2524,2,3.0,4.0,Attchd,3.0,WD ,278000,28,28,4.0,6.0
Pave,HLS,Corner,Crawfor,Norm,1Fam,2Story,8,Gable,CompShg,BrkFace,None,0.0,2.0,PConc,4.0,792.0,GasA,1.0,Y,1517,1,3.0,4.0,Detchd,1.0,WD ,230000,77,56,1.0,6.0
Pave,Lvl,CulDSac,Veenker,Norm,TwnhsE,1Story,8,Hip,CompShg,BrkFace,None,0.0,3.0,PConc,4.0,1494.0,GasA,4.0,Y,1494,1,4.0,4.0,Attchd,3.0,WD ,270000,11,10,3.0,6.0
Pave,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,Hip,CompShg,Wd Sdng,None,0.0,2.0,CBlock,3.0,948.0,GasA,2.0,Y,948,1,2.0,0.0,Detchd,1.0,WD ,125000,55,55,1.0,6.0
Pave,Lvl,Inside,CollgCr,Norm,1Fam,1Story,8,Hip,CompShg,VinylSd,Stone,336.0,3.0,PConc,5.0,1705.0,GasA,4.0,Y,1718,2,3.0,4.0,Attchd,2.0,WD ,297000,2,1,3.0,9.0
Pave,HLS,Inside,NAmes,Norm,1Fam,1Story,6,Flat,Tar&Grv,Wd Sdng,BrkFace,82.0,2.0,CBlock,4.0,160.0,GasA,1.0,Y,1142,1,2.0,4.0,Basment,2.0,WD ,113500,51,51,1.0,3.0
Pave,Lvl,Inside,MeadowV,Norm,TwnhsE,2Story,5,Gable,CompShg,CemntBd,None,0.0,2.0,PConc,3.0,757.0,GasA,4.0,Y,1475,2,2.0,3.0,Attchd,2.0,WD ,127000,29,29,2.0,3.0
Pave,Lvl,Inside,NWAmes,Norm,1Fam,1Story,6,Hip,CompShg,Plywood,BrkFace,480.0,2.0,CBlock,4.0,1844.0,GasA,4.0,Y,1844,2,2.0,3.0,Attchd,2.0,COD,190000,33,33,2.0,6.0
Pave,Lvl,Inside,NWAmes,Norm,1Fam,1Story,7,Hip,CompShg,HdBoard,BrkFace,320.0,2.0,CBlock,3.0,1242.0,GasA,1.0,Y,1242,1,2.0,3.0,Attchd,1.0,WD ,175500,34,34,2.0,6.0
Pave,Lvl,Inside,CollgCr,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,None,0.0,2.0,PConc,4.0,990.0,GasA,4.0,Y,990,1,2.0,0.0,Detchd,1.0,WD ,146000,13,13,2.0,3.0
Pave,Lvl,Inside,Edwards,Norm,1Fam,1Story,5,Gable,CompShg,HdBoard,None,0.0,3.0,CBlock,3.0,1256.0,GasA,3.0,Y,1256,1,2.0,0.0,Attchd,3.0,WD ,147500,43,43,3.0,3.0
Pave,Lvl,Inside,NridgHt,Norm,1Fam,1Story,10,Gable,CompShg,VinylSd,None,0.0,4.0,PConc,5.0,2076.0,GasA,4.0,Y,2076,2,4.0,4.0,Attchd,3.0,New,465000,0,0,4.0,9.0
Pave,Lvl,Corner,Mitchel,Norm,1Fam,SFoyer,5,Gable,CompShg,Plywood,BrkFace,104.0,2.0,PConc,4.0,1097.0,GasA,4.0,Y,1110,1,3.0,3.0,Attchd,3.0,WD ,165500,31,31,2.0,6.0
Pave,Lvl,Inside,OldTown,Norm,1Fam,1.5Fin,5,Gable,CompShg,MetalSd,BrkFace,335.0,2.0,BrkTil,3.0,1050.0,GasA,4.0,N,1795,2,2.0,0.0,Attchd,1.0,WD ,131500,54,54,2.0,2.0
Pave,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,Hip,CompShg,HdBoard,None,0.0,2.0,CBlock,3.0,1040.0,GasA,4.0,Y,1040,1,2.0,0.0,Detchd,1.0,WD ,129500,43,43,2.0,3.0
Pave,HLS,Inside,Crawfor,Norm,1Fam,2Story,8,Gable,CompShg,BrkFace,Stone,40.0,2.0,PConc,3.0,608.0,GasA,2.0,Y,1873,1,2.0,4.0,Detchd,3.0,WD ,257076,73,58,2.0,4.0
Pave,Lvl,Inside,Edwards,Norm,1Fam,1.5Fin,5,Gable,CompShg,Wd Sdng,None,0.0,2.0,CBlock,3.0,984.0,GasA,4.0,Y,1604,2,2.0,0.0,Detchd,1.0,WD ,117000,68,49,2.0,6.0
Pave,HLS,Inside,Crawfor,Norm,1Fam,2Story,7,Gable,CompShg,Stucco,None,0.0,2.0,BrkTil,4.0,776.0,GasA,2.0,Y,1502,1,2.0,4.0,Attchd,2.0,WD ,149000,77,8,2.0,3.0
Pave,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Gable,CompShg,HdBoard,Stone,110.0,2.0,CBlock,3.0,1056.0,GasA,2.0,Y,1063,1,2.0,0.0,Attchd,2.0,WD ,128000,56,56,2.0,3.0
Pave,Lvl,Inside,NridgHt,Norm,Twnhs,2Story,7,Gable,CompShg,VinylSd,Stone,106.0,3.0,PConc,4.0,764.0,GasA,4.0,Y,1626,2,3.0,0.0,BuiltIn,2.0,WD ,155000,5,4,3.0,6.0
Pave,Lvl,Inside,Somerst,Norm,TwnhsE,2Story,6,Gable,CompShg,MetalSd,BrkFace,513.0,3.0,PConc,4.0,756.0,GasA,4.0,Y,1524,2,3.0,0.0,Detchd,1.0,WD ,166000,6,6,3.0,6.0
Pave,Lvl,Inside,SWISU,Norm,1Fam,1.5Fin,4,Gable,CompShg,WdShing,None,0.0,2.0,BrkTil,3.0,1122.0,GasA,2.0,Y,1981,2,3.0,3.0,Detchd,1.0,WD ,135000,81,59,3.0,6.0
Pave,Lvl,Inside,NWAmes,RRAn,1Fam,2Story,7,Gable,CompShg,Plywood,BrkFace,184.0,2.0,CBlock,4.0,1392.0,GasA,2.0,Y,2784,3,3.0,3.0,Attchd,2.0,WD ,250000,28,28,5.0,6.0
Pave,Lvl,Inside,MeadowV,Norm,Twnhs,2Story,4,Gable,CompShg,CemntBd,None,0.0,2.0,CBlock,3.0,546.0,GasA,4.0,Y,1092,1,2.0,0.0,NoGarage,0.0,WD ,76000,40,40,2.0,0.0
Pave,Lvl,Corner,NAmes,Norm,1Fam,1Story,6,Hip,CompShg,Wd Sdng,BrkFace,522.0,2.0,CBlock,3.0,216.0,GasA,2.0,Y,1575,1,3.0,4.0,Attchd,1.0,WD ,155000,55,55,2.0,6.0
Pave,Lvl,Corner,Sawyer,Norm,1Fam,2Story,6,Gable,CompShg,HdBoard,Stone,143.0,2.0,CBlock,3.0,663.0,GasA,2.0,Y,1352,1,2.0,0.0,Attchd,3.0,WD ,158000,41,41,2.0,3.0
Pave,Lvl,Inside,Somerst,Norm,Twnhs,2Story,7,Gable,CompShg,MetalSd,None,0.0,3.0,PConc,4.0,600.0,GasA,4.0,Y,1200,2,3.0,0.0,Detchd,2.0,WD ,149500,6,5,4.0,6.0
Pave,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Gable,CompShg,MetalSd,None,0.0,2.0,CBlock,3.0,936.0,GasA,2.0,Y,936,1,2.0,0.0,Attchd,1.0,WD ,121000,52,31,1.0,3.0
Pave,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,Hip,CompShg,Wd Sdng,None,0.0,2.0,CBlock,3.0,1040.0,GasA,2.0,Y,1040,1,2.0,0.0,Attchd,3.0,WD ,136000,54,54,2.0,3.0
Pave,Lvl,Corner,Gilbert,Norm,1Fam,2Story,6,Gable,CompShg,HdBoard,None,0.0,2.0,PConc,4.0,916.0,GasA,3.0,Y,1636,2,2.0,3.0,Attchd,3.0,WD ,173000,12,12,3.0,6.0
Pave,Lvl,CulDSac,NoRidge,Norm,1Fam,2Story,8,Gable,CompShg,VinylSd,BrkFace,348.0,3.0,PConc,4.0,1152.0,GasA,4.0,Y,2270,2,3.0,4.0,Attchd,3.0,WD ,290000,11,3,3.0,9.0
Pave,Lvl,Inside,Somerst,Norm,1Fam,2Story,8,Gable,CompShg,CemntBd,None,0.0,3.0,PConc,4.0,1184.0,GasA,4.0,Y,2610,2,4.0,4.0,BuiltIn,3.0,New,303477,0,0,3.0,6.0
Pave,Low,Inside,ClearCr,Norm,1Fam,1Story,7,Hip,CompShg,Wd Sdng,None,0.0,3.0,CBlock,4.0,1420.0,GasA,3.0,Y,1483,1,2.0,3.0,Attchd,2.0,WD ,270000,33,9,3.0,6.0
Pave,Lvl,Corner,OldTown,Artery,1Fam,1.5Fin,5,Gable,CompShg,WdShing,None,0.0,1.0,BrkTil,3.0,936.0,GasA,3.0,N,1740,1,4.0,4.0,Detchd,1.0,WD ,122250,88,58,1.0,2.0
Pave,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Gable,CompShg,AsbShng,None,0.0,2.0,CBlock,3.0,1382.0,GasA,3.0,Y,1382,1,3.0,0.0,Attchd,1.0,WD ,153000,54,54,2.0,3.0
Pave,Lvl,Inside,Mitchel,Feedr,1Fam,1Story,5,Gable,CompShg,VinylSd,None,0.0,2.0,PConc,4.0,1120.0,GasA,4.0,Y,1120,1,2.0,0.0,NoGarage,0.0,New,147000,0,0,1.0,0.0
Pave,Lvl,Inside,Crawfor,Norm,1Fam,2Story,7,Gable,CompShg,Wd Sdng,None,0.0,2.0,BrkTil,4.0,531.0,GasA,2.0,Y,1098,1,2.0,4.0,Detchd,1.0,WD ,148500,77,12,2.0,3.0
Pave,Lvl,Inside,Edwards,Norm,TwnhsE,2Story,7,Gable,CompShg,VinylSd,Stone,117.0,3.0,PConc,4.0,976.0,GasA,4.0,Y,1708,2,3.0,0.0,Detchd,1.0,WD ,130000,2,2,2.0,6.0
Pave,HLS,Corner,NridgHt,Norm,1Fam,1Story,9,Hip,CompShg,MetalSd,Stone,510.0,4.0,PConc,5.0,1802.0,GasA,4.0,Y,1802,2,4.0,4.0,Attchd,3.0,WD ,372000,1,1,3.0,9.0
Pave,Lvl,Inside,Blmngtn,Norm,TwnhsE,1Story,7,Gable,CompShg,VinylSd,BrkFace,145.0,3.0,PConc,4.0,1362.0,GasA,4.0,Y,1506,2,3.0,4.0,Attchd,3.0,WD ,213490,1,1,2.0,6.0
